sentence,highlight,category,subcategory,polarity
This power has gradually been eroded to virtually nothing with the Lords only now possessing a temporary veto over legislation.,eroded to virtually nothing,APPRECIATION,WORTH,NEG
Many would say that the undemocratic make up of this house makes such changes fair.,fair,JUDGEMENT,PROPRIETY,POS
They may be fair but they also reduce the democrasy within Britain.,reduce the democrasy,JUDGEMENT,PROPRIETY,NEG
"An elected second house or senate would either give even more support to the government, thus ?ting the electoral dictatorship theory.",NONE,NONE,NONE,NONE
Or would create political deadlock with government legislation constantly being blocked and change.,deadlock,JUDGEMENT,CAPACITY,NEG
This may even lead to the political empass which is now occuring in America between Presidentant and Congress.,NONE,NONE,NONE,NONE
"The best system seems an apolitical second house which would contain people nominated from all walks of life such as industry, finance, law and order and Religion.",best,APPRECIATION,REACTION,POS
This house would then take a longer term political view over legislation and would be able to modify and change government policy.,would be able to modify,JUDGEMENT,CAPACITY,POS
This would change government from todays political short termism to long term benifits for the nation.,would change,APPRECIATION,WORTH,POS
"The present political system, as shown, is both antiquated, unfair and undemocratic.","antiquated, unfair and undemocratic",JUDGEMENT,PROPRIETY,NEG
It impossible within modern society to return to the democrasies of the ancient Greek city states.,impossible,JUDGEMENT,CAPACITY,NEG
However with modifications to voting systems and the nature of selection within the two houses of Parliament Britain could again have a democrasy which was the envy of the world.,could again have a democrasy which was the envy of the world,JUDGEMENT,CAPACITY,POS
The British parliamentary electoral system is unfair and undemocratic.,unfair and undemocratic,JUDGEMENT,PROPRIETY,NEG
"It is, however, in my opinion, the best way for the basis of government.",the best,APPRECIATION,REACTION,POS
"Consider a general election, in which three parties stand, X, Y, and Z, in a country of 5000 voters.",NONE,NONE,NONE,NONE
Supposing 2000 people vote for party X and 1500 vote for parties Y and Z.,NONE,NONE,NONE,NONE
Party X would come into power because they had the most votes.,NONE,NONE,NONE,NONE
"However there were 3000 people who did not want them to be in power, which is not the majority of the country.",NONE,NONE,NONE,NONE
"Also, the idea of each constituency having an MP who fights for that constituency's beliefs in parliament.",NONE,NONE,NONE,NONE
This has major flaws.,major flaws,APPRECIATION,COMPOSITION,NEG
"Consider, for example, the MP who recently decided she wanted to change parties.",NONE,NONE,NONE,NONE
"Yes, I know it is the MP's belief's the constituents are meant to vote on the ideas of that MP but this simply isn't the case in many circumstances, the voter votes on how that party for which that MP represents is doing at the moment.",NONE,NONE,NONE,NONE
"Once a party is in government it is free to do as it likes, changing it's policies, until the next general election, at which point it will make hollow promises about what it will do when it next gets in power, just to gain votes.",will make hollow promises,JUDGEMENT,VERACITY,NEG
"It is, as I said before, the best system.",the best system,APPRECIATION,REACTION,POS
"Consider dictatorships, this falls at the first hurdle.",NONE,NONE,NONE,NONE
"With this system any madman can control a country, having economic disasters for not only that country but other related countries.",madman / having economic disasters,JUDGEMENT,PROPRIETY,NEG
There is no fair and perfect way to run a country.,fair and perfect way,,,
"One please some people some of the time, but not all people all of the time.",NONE,NONE,NONE,NONE
"The only way a fair system of government can come about is in a group of about ten people at the most, and even then people are discontent.",fair system of government,JUDGEMENT,PROPRIETY,POS
The basic dilema facing the UK's rail and road transport system is the general rise in population.,NONE,NONE,NONE,NONE
"This leads to an increase in the number of commuters and transport users every year, consequently putting pressure on the UKs transports network.",NONE,NONE,NONE,NONE
The biggest worry to the system is the rapid rise of car users outside the major cities.,NONE,NONE,NONE,NONE
Most large cities have managed to incourage commuters to use public transport thus decreasing major conjestion in Rush hour periods.,have managed to incourage commuters,JUDGEMENT,CAPACITY,POS
"Public transport is the obvious solution to to the increase in population if it is made cheep to commuters, clean, easy and efficient then it could take the strain of the overloaded British roads.",obvious / cheap / clean / efficient,APPRECIATION,REACTION,POS
"For commuters who regularly travel long distances rail transport should be made more appealing, more comfortable and cheaper.",NONE,NONE,NONE,NONE
"Motorways and other transport links are constantly being extended, widened and slowly turning the country into a concrete jungle yet it is only trying to cope with the increase in traffic, we are our own enemy!",NONE,NONE,NONE,NONE
"Another major problem created by the mass of vehicle transport is the pollution emitted into the atmosphere damaging the ozone layer, creating smog and forming acid rain.",NONE,NONE,NONE,NONE
Tourturing the Earth we are living on.,Tourturing the Earth we are living on.,JUDGEMENT,PROPRIETY,NEG
"In concluding I wish to propose clean, efficient comfortable and cheap public transport for the near future.",efficient comfortable and cheap public transport,APPRECIATION,REACTION,POS
Traffic jams are becoming larger and more frequent.,NONE,NONE,NONE,NONE
Trains are never on time.,Trains are never on time.,JUDGEMENT,CAPACITY,NEG
Everybody always has a complaint about some part of the transport system in the United Kingdom.,NONE,NONE,NONE,NONE
"What is wrong, and what can we do about it?",NONE,NONE,NONE,NONE
"The amount of criticism aimed at the British rail network increases daily, and not without reason.",NONE,NONE,NONE,NONE
"Much of the rolling stock is old, slow, noisy and uncomfortable.","old, slow, noisy and uncomfortable",JUDGEMENT,CAPACITY,NEG
"Passengers whose life seems to revolve around annoying others - listening to not-quite-personal stereos, smoking in no smoking sections, putting bags on seat - are a common sight on trains.",Passengers whose life seems to revolve around annoying others,JUDGEMENT,PROPRIETY,NEG
"All this makes the train less appealling to the general public, and, in particular, the commuter.",NONE,NONE,NONE,NONE
"Another problem is that of understaffing, both on trains and at stations.",understaffing,JUDGEMENT,CAPACITY,NEG
"This leads to an increase in fare dodging, which is now quite possible unintentionally - with ticket offices closed at both ends of the journey, and no guard, who are you supposed to pay?",NONE,NONE,NONE,NONE
"All this leads to trains being unprofitable, except on a few major commuter routes.",NONE,NONE,NONE,NONE
"Many things have been tried to reverse this, but to no avail.",NONE,NONE,NONE,NONE
"Closing small lines which regularly lose money may seem sensible but leads to less people getting trains in general - after all if you have to drive twenty miles to the nearest station, you might as well just drive to wherever you are going.",NONE,NONE,NONE,NONE
"Increasing or decreasing prices could be tried, but as trains are more expensive than cars for most journeys anyway, this would have little effect.",NONE,NONE,NONE,NONE
"The only way to make profits is to get more people on trains, and this requires an improvement in services.",NONE,NONE,NONE,NONE
"This would initially cost a lot, and unfortunately sufficient funding is never available.",sufficient funding is never available,JUDGEMENT,CAPACITY,NEG
"As more and more people use cars, traffic in city centres during rush ours comes to a near standstill.",traffic in city centres during rush ours comes to a near standstill,JUDGEMENT,CAPACITY,NEG
"More cars arrive, get stuck in jams, and spread the congestion further and further out of the city, until motorways and bypasses become blocked.",NONE,NONE,NONE,NONE
The problem is obvious - there are too many cars on Britain's roads.,NONE,NONE,NONE,NONE
"There are two ways around the problem - reduce the number of cars, or build more roads.",NONE,NONE,NONE,NONE
"In cities, where all traffic jams start, there is no room for more roads - every square yard is already in use.",NONE,NONE,NONE,NONE
"The only place more roads can be built is outside cities, building more and wider motorways.",NONE,NONE,NONE,NONE
"This reduces the spread of traffic jams once they begin to stretch out of the city, but is environmentally damaging, both by destroying whatever happens to be on the route and, according to environmentalists, encouraging even more cars, and thus more pollution.",NONE,NONE,NONE,NONE
"So, the only way around the problem is to have less cars.",NONE,NONE,NONE,NONE
"There are three main ways of doing this: sharing cars, using public transport and walking or cycling.",NONE,NONE,NONE,NONE
"Sharing cars seems feasible, but is unpopular for various reasons.",NONE,NONE,NONE,NONE
It removes the element of independence afforded by a car - you have to decide exactly when and where you want to travel in advance.,NONE,NONE,NONE,NONE
"Also people who are paying for a car's road tax, insurance and depreciation prefer to use the car.",NONE,NONE,NONE,NONE
"Buses are almost without exception, old.",Buses are old,APPRECIATION,REACTION,NEG
"This makes them slow, and often uncomfortable.",slow / uncomfortable,APPRECIATION,REACTION,NEG
"The ""other passengers"" problem also occurs on buses, but you can't move to another carriage.",NONE,NONE,NONE,NONE
"To get from A to B, they stop at, and sometimes divert several miles to reach C, D and E. If you are going to be stuck in a traffic jam, people prefer to listen to their own choice of tape or radio station than thirty other people's conversations.",NONE,NONE,NONE,NONE
Trains have similar problems.,NONE,NONE,NONE,NONE
"They don't (usually) get stuck in traffic jams, but stations are often far from both home and work.",NONE,NONE,NONE,NONE
"People walking or using a bike are not protected from the elements and, until cars and buses are banned, have to breathe everybody else's exhaust fumes.",NONE,NONE,NONE,NONE
"These methods of transport are slow, and allow you to carry much less.",NONE,NONE,NONE,NONE
"If public transport was improved, more might use it, and ease the strain on roads.",NONE,NONE,NONE,NONE
"Unfortunately, the attitude of many drivers is, ""I think more people should use public transport, then, there'll be less cars on the road, so I can drive around more easily.""","the attitude of many drivers is, ""I think more people should use public transport.",JUDGEMENT,PROPRIETY,NEG
"Until this changes, there will be no improvement.",NONE,NONE,NONE,NONE
As transport has advanced over the past 200 years or so we have come to rely on it more and more.,NONE,NONE,NONE,NONE
"It has given us the freedom to travel anywhere within our own peninsular and, including our travel, almost anywhere in the world.",NONE,NONE,NONE,NONE
With the advent of the channel tunnel we can now travel throughout Europe as well.,NONE,NONE,NONE,NONE
"Travel has become and essential part of our everyday lives, we use it to go to work or school and just to get around in general because it's easier and quicker than walking.",NONE,NONE,NONE,NONE
The majority of our travelling is done by either road or rail.,NONE,NONE,NONE,NONE
"We use cars, buses and trains to go to work in.",NONE,NONE,NONE,NONE
"Transport is also very important for British industry lorries and trains are used to transport goods up and down the U.K.
Our need and dependance on road and rail transport has created supply.",NONE,NONE,NONE,NONE
The car industry is now one of the world's largest.,NONE,NONE,NONE,NONE
In the last 30 years we have seen the construction of a vast motorway network throughout the U.K. All of this has come at a price though.,NONE,NONE,NONE,NONE
It has reached the stage where we are totally dependant upon transport.,NONE,NONE,NONE,NONE
"Without it we could not get to work, fuels could not be transported to power stations to create our electricity and food could not be transported into our cities.",NONE,NONE,NONE,NONE
This huge use of transport causes damage to our natural environment.,damage to our natural environment,JUDGEMENT,PROPRIETY,NEG
The release of exhaust fumes from our vehicles such as C.F.C.s and CO our depleting the ozone layer which could have disastrous global consequences in years to come.,NONE,NONE,NONE,NONE
"During rush our traffic in most major cities throughout the U.K. a photochemical smog looms over the city, polluting the atmosphere.",NONE,NONE,NONE,NONE
There is strong evidence to suggest this causes asthma and other ailments I children.,NONE,NONE,NONE,NONE
Our roads have become congested.,NONE,NONE,NONE,NONE
For a minimum of two hours everyday the roads surrounding big cities are packed solid with people trying to get to and from work or school.,NONE,NONE,NONE,NONE
Train stations suffer the same problem.,NONE,NONE,NONE,NONE
We have tried to solve this problem by building wider roads and bypasses.,NONE,NONE,NONE,NONE
Some councils have tried to show a little more initiative by building bus lanes and trying to entice people to use public transport.,councils have tried to show a little more initiative,JUDGEMENT,CAPACITY,POS
These are mainly short term solutions that will eventually make the problem worse.,,,,
New roads will just bring new cars.,NONE,NONE,NONE,NONE
The problem is not inadequate road systems it's too much traffic.,inadequate,APPRECIATION,COMPOSITION,NEG
In order to solve our transport problems we need to start taking a more long term view.,long term view.,,,
"Cities such as Manchester have become largely pedestrianised and have seen the reintroduction of trams, this is the sort of scheme that can solve our problems.",NONE,NONE,NONE,NONE
If cars were banned from all city centres for 2 hours every morning and 2 hours every evening this would force people to use public transport.,NONE,NONE,NONE,NONE
Obviously an excellent public transport system would be required but may be then it would recieve the funding and customers it so desperately requires.,NONE,NONE,NONE,NONE
There are certain people such as police and social workers who have to travell around and visit people during the day.,NONE,NONE,NONE,NONE
These people could be granted special permits allowing them to use cars.,NONE,NONE,NONE,NONE
This would greatly reduce the traffic on our roads and help the rail and bus industry to thrive.,NONE,NONE,NONE,NONE
Many people may find they don't actually need a car at all.,NONE,NONE,NONE,NONE
Hopefully this would lead to a reversal of the damage we've done to the environment through reduced vehicle emissions.,damage we've done to the environment,JUDGEMENT,PROPRIETY,NEG
We should also encourage cycling as a mode of transport.,NONE,NONE,NONE,NONE
In Holland their is a complete network of cycle paths as well as roads.,NONE,NONE,NONE,NONE
It is possible to go by bike almost anywhere you can go by car.,NONE,NONE,NONE,NONE
This is a system that could be adopted in the U.K.,NONE,NONE,NONE,NONE
"It would relieve congestion on our roads, reduce pollution to the environment and help us become a fitter, healthier nation.",fitter / healthier,JUDGEMENT,CAPACITY,POS
The problems facing road transport are numerous with potentially severe penalties.,severe penalties,,,
"Today, the vast amount of UK families own a car.",NONE,NONE,NONE,NONE
"It is, no doubt, a fast way of commuting to and from destinations with little stress on the body, however traffic congestion is becoming a major concern in any city or town.",NONE,NONE,NONE,NONE
"It has even been attempted to build more roads for the cars to travel on, but it seems that the number of cars increases on the road increase, making the problem the same as it was before.",NONE,NONE,NONE,NONE
Lancaster is a very good example of a failed one way system.,failed one way system,JUDGEMENT,CAPACITY,NEG
It is becoming more apparent that walking is faster at peak times of the day (ie 08:00 and 17:00).,NONE,NONE,NONE,NONE
"Resulting from this failure, a bypass was introduced but is used by very few cars, amounting to another failure.",NONE,NONE,NONE,NONE
"Along with the traffic congestion, comes pollution.",NONE,NONE,NONE,NONE
The green house effect is a major issue to most citizens but very few of them are prepared to give up their car to show it.,NONE,NONE,NONE,NONE
"The government however, is beginning to address this issue and the car manufacturers are placing catalytic converters on their newer cars.",is beginning to address this issue,JUDGEMENT,CAPACITY,POS
"In areas such as Mexico City, the pollution is perfectly visible as a mass smog cloud can be seen enveloped over the city.",NONE,NONE,NONE,NONE
"These sites are also very common in the major American cities and even, at times, London.",NONE,NONE,NONE,NONE
With such are large no.,NONE,NONE,NONE,NONE
"of cars on the road, maintenance is another major issue.",NONE,NONE,NONE,NONE
£ billions are spent by the government alone trying to keep the UK roads in as best a condition as possible.,NONE,NONE,NONE,NONE
"Finally, the number of accidents is rapidly increasing, along with he number of cars.",NONE,NONE,NONE,NONE
One major factor of these accidents is road stress which can again be due to traffic congestion.,NONE,NONE,NONE,NONE
"All of these problems, one way or another, can all be linked with congestion and hence the number of cars on the road.",NONE,NONE,NONE,NONE
"To attempt to lessen this number, I have a number of solutions.",NONE,NONE,NONE,NONE
Park and Ride - have cars outside of town and catch a free/cheap bus into town.,NONE,NONE,NONE,NONE
"Improvent of public transport - Cheaper fares, cleaner, more pleasant environment to encourage them to leave their cars at home.",cheaper / cleaner/ more pleasant,APPRECIATION,REACTION,POS
In Italy a scheme was introduced so that odd number registration plates on cars could only go in on every alternate day of the week whilst even when on the other days.,NONE,NONE,NONE,NONE
"Cycle lanes/bus lanes - making it quicker to travel, especially through the congestive areas.",NONE,NONE,NONE,NONE
Rail transport is similar in ways such that their maintanence bills of track are becoming higher and higher as hooligans chuck things on them.,hooligans,JUDGEMENT,PROPRIETY,NEG
One major problem travelling by train in the UK through the peoples eyes are that they are very unreliable.,very unreliable,APPRECIATION,REACTION,NEG
Trains never get to theier destinations on time.,NONE,NONE,NONE,NONE
This view is very stereotypical but can be supported.,very stereotypical,JUDGEMENT,TENACITY,NEG
"Again at peak times, the trains can become very cramped with very few facilities and often dirty carriages.",very few facilities and often dirty,APPRECIATION,COMPOSITION,NEG
This isn't the fault of British rail but the last passenger on the train who dropped his litter.,the last passenger on the train who dropped his litter,JUDGEMENT,PROPRIETY,NEG
"British rail, now privatised, is under very fierce competition by cars and especially airplanes.",under very fierce competition,JUDGEMENT,CAPACITY,NEG
It seems to have been left behind by other countries like Japan who now have the bullet train or France with its TGV.,left behind,JUDGEMENT,CAPACITY,NEG
These are very fast and cost efficient ways that common and buisness men alike travel in luxury.,very fast and cost efficient,APPRECIATION,REACTION,POS
British rail need a bit of money to improve thier transportation methods by:,NONE,NONE,NONE,NONE
"Adding More carriages at peak times - less congestion
lowering fares",NONE,NONE,NONE,NONE
Improving facilities,NONE,NONE,NONE,NONE
"Reduce litter left in carriages, ie impose fines etc.",NONE,NONE,NONE,NONE
Improve speed/efficiency of trains,NONE,NONE,NONE,NONE
The number of cars in the United Kingdom has greatly increased since the mass motorway building schemes in the 1970's.,NONE,NONE,NONE,NONE
"This is putting increasing stress on our road network, especially along major commercial routes, such as Birmingham to London, and in town centres where the streets and roads were not designed for such a large number of cars.",increasing stress,APPRECIATION,REACTION,NEG
"This large no of cars is causing congestion and general ""wear and tear"" of our roads.","""wear and tear""",APPRECIATION,REACTION,NEG
"The easy access to cars has enabled people to move out of the polluted, ""grey"" cities and into out-of-town villages where they can commute."," ""grey"" cities",APPRECIATION,REACTION,NEG
This has meant that whereas people used to walk or catch a bus to work they now drive into work.,NONE,NONE,NONE,NONE
This is especially true in the major cities such as London and Birmingham and this can be seen in the horrific traffic problems which plague these cities.,horrific traffic problems which plague,APPRECIATION,REACTION,NEG
When faced with large traffic jams there is the tendancy to find shortcuts and this can lead to heavy traffic through rural villages or residential areas.,the tendancy to find shortcuts,JUDGEMENT,CAPACITY,NEG
The number of heavy goods vehicles on the road networks has also increased and frequent lorry traffic can damage roads not built for this purpose quickly.,NONE,NONE,NONE,NONE
They also restrict the flow of traffic on motorways especially when in large numbers.,NONE,NONE,NONE,NONE
The rail transport in the United Kingdom also has many problems.,has many problems,JUDGEMENT,CAPACITY,NEG
One of these is the increasing number of people who prefer to drive rather than catch a train.,who prefer to drive rather than catch a train,JUDGEMENT,TENACITY,NEG
This unpopularity has come about especially over shorter distances due to the delays and strike problems etc.,NONE,NONE,NONE,NONE
"The privatisation and sell off of many of the more profitable networks such as the South East has lead to a profit-base operation meaning fewer trains, higher fares and the closure of many of the smaller stations.",NONE,NONE,NONE,NONE
Another problem is the unwillingness of industry to transport goods by train often due to the limited rail network and the cost compared to transport by HGV's.,the unwillingness of industry,JUDGEMENT,TENACITY,NEG
"The opening of the Eurotunnel, connecting the UK network to the rest of Europe, it is hoped, will stimulate the rail industry but a number of problems and Eurotunnel's increasing debt has done little to convince the general public.",has done little,JUDGEMENT,CAPACITY,NEG
There are many possible solutions to the problems I have identified many of which would compliment each other.,NONE,NONE,NONE,NONE
Firstly the problem of traffic congestion of our roads could be mainly tackled in two ways.,NONE,NONE,NONE,NONE
Either by somehow reducing the amount of traffic or by increasing the number of roads.,NONE,NONE,NONE,NONE
To reduce traffic tolls could be introduced on motorways and major roads.,NONE,NONE,NONE,NONE
This may deter people from using their cars or it may just push them onto country roads increasing rural traffic problems.,NONE,NONE,NONE,NONE
People could be encouraged to use public transport by improving the service of buses and trains or by introducing car-free city centres where trains or buses have to be used.,NONE,NONE,NONE,NONE
"Also industry could be encouraged to use the rail network by providing incentives such as tax reliefs, by improving the rail service or by making it more competitive.",NONE,NONE,NONE,NONE
To reduce congestion more roads could be built especially ring roads or bypasses which skirt a town and take the traffic away from the town centre.,NONE,NONE,NONE,NONE
"Examples of this are the M25 motorway and the proposed Newbury bypass both of which have had problems, the M25 seems permanently congested and the Newbury bypass has met opposition from environmental groups.",NONE,NONE,NONE,NONE
British transport has always been either a source of national pride or concern.,NONE,,,
Nowadays we hear so much about the indaquacies of our transport system.,inadequacies,JUDGEMENT,CAPACITY,NEG
Public transport is underfunded; the roads are croweded and almost unbearable near cities + even smaller towns nowadays.,underfunded / almost unbearable,APPRECIATION,REACTION,NEG
"If you're ever in a traffic queue then look around, look at the occupants of cars.",NONE,NONE,NONE,NONE
Well over 3/4 of them will be alone.,NONE,NONE,NONE,NONE
Surely this means something?,NONE,NONE,NONE,NONE
"OK so this is the solitary age of the 90's, + people don't want to trust anyone or anything else but the greater reason is the abysmal public transport we have at this time.",people don't want to trust ,JUDGEMENT,PROPRIETY,NEG
"Over priced, shoddy surroundings, poor service and more often than not, late.","Over priced, shoddy surroundings, poor service",APPRECIATION,REACTION,NEG
If public transport was just a little bit more accomadating than it is then many people would consider using it rather than their own private 'tank'.,NONE,NONE,NONE,NONE
A root cause for these problems is the endless privatisation of anything and everything by this government.,the endless privatisation,JUDGEMENT,PROPRIETY,NEG
They feed endless diatribes onto the people who are too lethargic to care.,too lethargic,JUDGEMENT,TENACITY,NEG
They say that privatisation will lead to better service and prices.,NONE,NONE,NONE,NONE
"However the advent of many, separate profit making companies running the roads and track cant be good for the consumer in the long term.",cant be good for the consumer,APPRECIATION,WORTH,NEG
The government is effectively handing out monopolies to companies just to try and balance their short term interests.,effectively handing out monopolies,JUDGEMENT,CAPACITY,NEG
Also the means of transportation hasn't changed greatly in the past 10 years whilst the volume of traffic has increased threefold in the case of the roadsystem.,NONE,NONE,NONE,NONE
Obviously more roads are needed.,more roads are needed,APPRECIATION,REACTION,NEG
However there is a limit.,NONE,NONE,NONE,NONE
Nobody wants a concrete jungle for a country.,concrete jungle,APPRECIATION,REACTION,NEG
There is though an optimum balance which I believe has not yet been reached.,has not yet been reached,JUDGEMENT,CAPACITY,NEG
It is when bypasses of bypasses are being built that the country will reach saturation levels.,NONE,NONE,NONE,NONE
To be fair the authority's are in a no win situation here.,no win situation,APPRECIATION,REACTION,NEG
If they don't build more roads then people complain about the density of traffic and if they do then rabid enviromentalists spring out form their undergrouth and start chaining themselves to trees!,NONE,NONE,NONE,NONE
Just look at the case of the planned Newbury bypass.,NONE,NONE,NONE,NONE
Already it is behind schedule due to the ranting of these 'enviromentalists'.,behind schedule,JUDGEMENT,CAPACITY,NEG
Even the most ardent of these would acknowledge the necessity of something being done on this stretch of road.,Even the most ardent,JUDGEMENT,TENACITY,POS
The people of Newbury generally want the bypass built to alleviate the infernal traffic:,NONE,NONE,NONE,NONE
Nothing can be done about the first problem.,Nothing can be done,APPRECIATION,REACTION,NEG
The second is more interesting.,more interesting,APPRECIATION,REACTION,POS
One possible solution is a quite radical one.,radical,APPRECIATION,WORTH,NONE
Say if each household in Britain was only allowed 1 car (or each registered voter was allowed),NONE,NONE,NONE,NONE
The volume would be immediately cut exponnentionally.,immediately cut exponnentionally,APPRECIATION,WORTH,POS
This has been tried on a small island somewhere and had a positive effect.,positive effect,APPRECIATION,WORTH,POS
However this isn't a viable solution as it would make any government very unpopular and also reduce input into its tax coffers.,isn't a viable solution,APPRECIATION,WORTH,NEG
Another solution is to change the supply of petrol.,NONE,NONE,NONE,NONE
"Maybe a rationing system could be introduced, or the tax increased greatly.",NONE,NONE,NONE,NONE
However none of these measures could be introduced unless something is done about the state of Public Transport first.,NONE,NONE,NONE,NONE
I'm sure most people wouldn't complain about paying an extra penny in the pound to subsidise a re-Nationalised Service to the country.,most people wouldn't complain,JUDGEMENT,PROPRIETY,POS
I certainly wouldn't.,NONE,NONE,NONE,NONE
It cannot help but be noticed that Britain's roads are becoming increasingly unsavoury places.,increasingly unsavoury,APPRECIATION,REACTION,NEG
"Congestion is a severe problem, particularly in urban areas, where it is very difficult - almost impossible in fact -to create new road systems to cope with the taffic.",severe problem,APPRECIATION,WORTH,NEG
"A journey into Lancaster, for example, may only take ten minutes when the roads are quiet, but can take three-quarters of an hour during the 'rush-hour'.",NONE,NONE,NONE,NONE
Congestion is certainly not a problem that will go away; the number of cars on Britain's roads is increasing constantly.,not a problem that will go away,APPRECIATION,REACTION,NEG
"The M25 has already been dubbed 'the biggest car-park in Europe', and if current trends continue, the number of cars using it will double by 2030.",dubbed 'the biggest car-park in Europe,APPRECIATION,REACTION,NEG
"A huge amount of pollution is chewed out by all those cars, contributing to global warming, acid rain and smog in cities.",huge amount of pollution is chewed out,APPRECIATION,WORTH,NEG
"Although catalytic converters are now compulsory on new cars, fumes in cities have become so bad that scientists have linked them to a marked increase in the number of asthma sufferers.",so bad / linked them to a marked increase in the number of asthma sufferers,APPRECIATION,WORTH,NEG
"The emissions from diesel vehicles - cars, buses and lorries - are particularly harmful (just watch a bus start its engine, and observe the huge black cloud that belches forth from its exhaust pipe), and yet there is no control on these vehicles' exhaust.",there is no control,JUDGEMENT,CAPACITY,NEG
"Hundreds of people are killed on the roads every year, and as cars become faster and taffic denser, the number of accidents will surely increase.",are killed,JUDGEMENT,PROPRIETY,NEG
"Cars are also an extremely inefficient way of transporting people - large amounts of energy are used, and very often the car is only carrying one person.",extremely inefficient,APPRECIATION,REACTION,NEG
"The number of lorries around is increasing, as more and more freight is carried by road (as opposed to sea or rail), due to the influence exerted by the road-haulage lobby on the government.",NONE,NONE,NONE,NONE
"Lorries create more noise and pollution than cars, and are much more damaging to the roads they travel on.", damaging ,APPRECIATION,WORTH,NEG
"Now that rail privatisation has gone ahead, many people are likely to lose faith in trains, due to the percieved inefficiency of the operators (for example the time-table book full of errors or the recent survey in Which? magazine about overcharging).",are likely to lose faith in trains,JUDGEMENT,PROPRIETY,NEG
"Fares are likely to increase, and many rural lines that used to be subsidised by the government face closure.",NONE,NONE,NONE,NONE
"Very little freight is transposed by rail these days, so the railways have lost income due to this.",NONE,NONE,NONE,NONE
"Many tracks and trains are in need of renovation or replacement, but funds are not available for this.",in need of renovation or replacement,APPRECIATION,REACTION,NEG
"Building more and more roads is not the solution to Britain's transport problems, because they are very expensive, take up a lot of space which otherwise could be used for buildings or agriculture, and there is increasing public opposition to new road programmes (for example, protests at Twyford Down and many other sites).",NONE,NONE,NONE,NONE
The money that is spent on building roads should instead be spent on improving public transport and encouraging people to use it.,should instead be spent,APPRECIATION,WORTH,NEG
"While cars are essential to many people who live in remote areas or for doing the weekly shopping or other such tasks, most people's journeys involve going to work and back.",NONE,NONE,NONE,NONE
"Many people could make these journeys by bus or train, and once people started doing this, the bus and train companies would have more money to improve services or run more vehicles, thereby (hopefully) encouraging more and more people to use these services.",NONE,NONE,NONE,NONE
both buses and trains can transport people more efficiently (less energy used per person transported) and more safely than cars (compare injuries due to bus or train crashes with those due to car crashes).,more efficiently and more safely,APPRECIATION,REACTION,POS
"Also, buses take up less space on the road than cars, considering the number of people they transport.",take up less space,APPRECIATION,REACTION,POS
"For shorter journeys, people should be encouraged to walk or cycle, both of which are good for them",are good for them,APPRECIATION,WORTH,POS
"More cycle-lanes should be provided, as many potential cyclists are frightened by the other traffic on roads.",NONE,NONE,NONE,NONE
It has been estimated that to build a 2000-mile cycle network around London would cost as much as 1 mile of three-lane motorway.,NONE,NONE,NONE,NONE
Public transport services should be encouraged to link up more.,NONE,NONE,NONE,NONE
"For example, there should be bus or tram terminals outside every train station, and more places for people to lock up bikes.",NONE,NONE,NONE,NONE
"If cars must be used to travel to work, then car-sharing schemes, such as those in place in many U.S. states, should be encouraged.",NONE,NONE,NONE,NONE
"Government subsidies should be increased on public transport, much of which is overpriced at the moment.",overpriced,APPRECIATION,REACTION,NEG
"A recent survey in the Observer calculated that these measures, and many more, could be paid for out of the government's road budget, and enough would be left to maintain all existing roads.",NONE,NONE,NONE,NONE
One of the main obstacles is encouraging people to use public transport.,obstacles,APPRECIATION,REACTION,NEG
"We live in a car-obsessed culture, and it would be difficult to change people's attitudes.",car-obsessed culture,JUDGEMENT,PROPRIETY,NEG
A 'carrot and stick' approach should probably be used.,NONE,NONE,NONE,NONE
"The carrot would be cheaper fares on buses, trams and trains and improved services, together with an advertising campaign to try to persuade people of the benefits of public transport.",NONE,NONE,NONE,NONE
"The stick would be making cars more expensive to run, either by increasing road tax or increasing the duty on petrol.",NONE,NONE,NONE,NONE
"Neither measure would be popular, but in the end they would help to create a better transport system in Britain.",help to create a better,APPRECIATION,WORTH,POS
The United Kingdom is a small island and with a population of around 55 million is very overpopulated.,NONE,NONE,NONE,NONE
It has an inadequate and expensive public transport system which as a result is forcing more and more cars onto the road.,inadequate and expensive,APPRECIATION,REACTION,NEG
Britain now has the most cars per mile of road anywhere in the world and modern traffic policies are not tackling these problems.,policies are not tackling,JUDGEMENT,CAPACITY,NEG
"In short a somewhat more radical, and unpopular, policy is required.",NONE,NONE,NONE,NONE
"British rail is notorously slow, late and expensive and the hype of rail travel and steam trains is long since gone with many old tracks being dismantled.","notorously slow, late and expensive",APPRECIATION,REACTION,NEG
If we are to alleviate the roads in Britain them we must encourage rail travel in Britain and we should be opening new lines not closing old ones.,NONE,NONE,NONE,NONE
Perhaps the privatisation of British Rail will produce a more competitive service but I fear that it will will result in the closure of smaller less profitable lines and only a better service on the main routes.,NONE,NONE,NONE,NONE
Why is British rail so unreliable?,so unreliable,APPRECIATION,REACTION,NEG
Most of the world besides Britain seems to run a reliable service even developing countries., seems to run a reliable service,JUDGEMENT,CAPACITY,POS
"Few efforts have been made to make the fares cheaper and a more desirable form of family travel, with the Family railcard really being a non-starter.",Few efforts have been made,JUDGEMENT,TENACITY,NEG
